time(s);position(m);velocity(m/s);acceleration(m*s^-2);jerk(m*s^-3)
0.000000;0.000000;0.000000;0.000000;0.600000
0.000100;0.000000;0.000000;0.000060;0.600000
0.000200;0.000000;0.000000;0.000120;0.600000
0.000300;0.000000;0.000000;0.000180;0.600000
0.000400;0.000000;0.000000;0.000240;0.600000
0.000500;0.000000;0.000000;0.000300;0.600000
0.000600;0.000000;0.000000;0.000360;0.600000
0.000700;0.000000;0.000000;0.000420;0.600000
0.000800;0.000000;0.000000;0.000480;0.600000
0.000900;0.000000;0.000000;0.000540;0.600000
0.001000;0.000000;0.000000;0.000600;0.600000
0.001100;0.000000;0.000000;0.000660;0.600000
0.001200;0.000000;0.000000;0.000720;0.600000
0.001300;0.000000;0.000001;0.000780;0.600000
0.001400;0.000000;0.000001;0.000840;0.600000
0.001500;0.000000;0.000001;0.000900;0.600000
0.001600;0.000000;0.000001;0.000960;0.600000
0.001700;0.000000;0.000001;0.001020;0.600000
0.001800;0.000000;0.000001;0.001080;0.600000
0.001900;0.000000;0.000001;0.001140;0.600000
0.002000;0.000000;0.000001;0.001200;0.600000
0.002100;0.000000;0.000001;0.001260;0.600000
0.002200;0.000000;0.000001;0.001320;0.600000
0.002300;0.000000;0.000002;0.001380;0.600000
0.002400;0.000000;0.000002;0.001440;0.600000
0.002500;0.000000;0.000002;0.001500;0.600000
0.002600;0.000000;0.000002;0.001560;0.600000
0.002700;0.000000;0.000002;0.001620;0.600000
0.002800;0.000000;0.000002;0.001680;0.600000
0.002900;0.000000;0.000003;0.001740;0.600000
0.003000;0.000000;0.000003;0.001800;0.600000
0.003100;0.000000;0.000003;0.001860;0.600000
0.003200;0.000000;0.000003;0.001920;0.600000
0.003300;0.000000;0.000003;0.001980;0.600000
0.003400;0.000000;0.000003;0.002040;0.600000
0.003500;0.000000;0.000004;0.002100;0.600000
0.003600;0.000000;0.000004;0.002160;0.600000
0.003700;0.000000;0.000004;0.002220;0.600000
0.003800;0.000000;0.000004;0.002280;0.600000
0.003900;0.000000;0.000005;0.002340;0.600000
0.004000;0.000000;0.000005;0.002400;0.600000
0.004100;0.000000;0.000005;0.002460;0.600000
0.004200;0.000000;0.000005;0.002520;0.600000
0.004300;0.000000;0.000006;0.002580;0.600000
0.004400;0.000000;0.000006;0.002640;0.600000
0.004500;0.000000;0.000006;0.002700;0.600000
0.004600;0.000000;0.000006;0.002760;0.600000
0.004700;0.000000;0.000007;0.002820;0.600000
0.004800;0.000000;0.000007;0.002880;0.600000
0.004900;0.000000;0.000007;0.002940;0.600000
0.005000;0.000000;0.000008;0.003000;0.600000
0.005100;0.000000;0.000008;0.003060;0.600000
0.005200;0.000000;0.000008;0.003120;0.600000
0.005300;0.000000;0.000008;0.003180;0.600000
0.005400;0.000000;0.000009;0.003240;0.600000
0.005500;0.000000;0.000009;0.003300;0.600000
0.005600;0.000000;0.000009;0.003360;0.600000
0.005700;0.000000;0.000010;0.003420;0.600000
0.005800;0.000000;0.000010;0.003480;0.600000
0.005900;0.000000;0.000010;0.003540;0.600000
0.006000;0.000000;0.000011;0.003600;0.600000
0.006100;0.000000;0.000011;0.003660;0.600000
0.006200;0.000000;0.000012;0.003720;0.600000
0.006300;0.000000;0.000012;0.003780;0.600000
0.006400;0.000000;0.000012;0.003840;0.600000
0.006500;0.000000;0.000013;0.003900;0.600000
0.006600;0.000000;0.000013;0.003960;0.600000
0.006700;0.000000;0.000013;0.004020;0.600000
0.006800;0.000000;0.000014;0.004080;0.600000
0.006900;0.000000;0.000014;0.004140;0.600000
0.007000;0.000000;0.000015;0.004200;0.600000
0.007100;0.000000;0.000015;0.004260;0.600000
0.007200;0.000000;0.000016;0.004320;0.600000
0.007300;0.000000;0.000016;0.004380;0.600000
0.007400;0.000000;0.000016;0.004440;0.600000
0.007500;0.000000;0.000017;0.004500;0.600000
0.007600;0.000000;0.000017;0.004560;0.600000
0.007700;0.000000;0.000018;0.004620;0.600000
0.007800;0.000000;0.000018;0.004680;0.600000
0.007900;0.000000;0.000019;0.004740;0.600000
0.008000;0.000000;0.000019;0.004800;0.600000
0.008100;0.000000;0.000020;0.004860;0.600000
0.008200;0.000000;0.000020;0.004920;0.600000
0.008300;0.000000;0.000021;0.004980;0.600000
0.008400;0.000000;0.000021;0.005040;0.600000
0.008500;0.000000;0.000022;0.005100;0.600000
0.008600;0.000000;0.000022;0.005160;0.600000
0.008700;0.000000;0.000023;0.005220;0.600000
0.008800;0.000000;0.000023;0.005280;0.600000
0.008900;0.000000;0.000024;0.005340;0.600000
0.009000;0.000000;0.000024;0.005400;0.600000
0.009100;0.000000;0.000025;0.005460;0.600000
0.009200;0.000000;0.000025;0.005520;0.600000
0.009300;0.000000;0.000026;0.005580;0.600000
0.009400;0.000000;0.000027;0.005640;0.600000
0.009500;0.000000;0.000027;0.005700;0.600000
0.009600;0.000000;0.000028;0.005760;0.600000
0.009700;0.000000;0.000028;0.005820;0.600000
0.009800;0.000000;0.000029;0.005880;0.600000
0.009900;0.000000;0.000029;0.005940;0.600000
0.010000;0.000000;0.000030;0.006000;0.600000
0.010100;0.000000;0.000031;0.006060;0.600000
0.010200;0.000000;0.000031;0.006120;0.600000
0.010300;0.000000;0.000032;0.006180;0.600000
0.010400;0.000000;0.000032;0.006240;0.600000
0.010500;0.000000;0.000033;0.006300;0.600000
0.010600;0.000000;0.000034;0.006360;0.600000
0.010700;0.000000;0.000034;0.006420;0.600000
0.010800;0.000000;0.000035;0.006480;0.600000
0.010900;0.000000;0.000036;0.006540;0.600000
0.011000;0.000000;0.000036;0.006600;0.600000
0.011100;0.000000;0.000037;0.006660;0.600000
0.011200;0.000000;0.000038;0.006720;0.600000
0.011300;0.000000;0.000038;0.006780;0.600000
0.011400;0.000000;0.000039;0.006840;0.600000
0.011500;0.000000;0.000040;0.006900;0.600000
0.011600;0.000000;0.000040;0.006960;0.600000
0.011700;0.000000;0.000041;0.007020;0.600000
0.011800;0.000000;0.000042;0.007080;0.600000
0.011900;0.000000;0.000042;0.007140;0.600000
0.012000;0.000000;0.000043;0.007200;0.600000
0.012100;0.000000;0.000044;0.007260;0.600000
0.012200;0.000000;0.000045;0.007320;0.600000
0.012300;0.000000;0.000045;0.007380;0.600000
0.012400;0.000000;0.000046;0.007440;0.600000
0.012500;0.000000;0.000047;0.007500;0.600000
