time(s);position(m);velocity(m/s);acceleration(m*s^-2);jerk(m*s^-3)
0.012600;0.000000;0.000048;0.007560;0.600000
0.012700;0.000000;0.000048;0.007620;0.600000
0.012800;0.000000;0.000049;0.007680;0.600000
0.012900;0.000000;0.000050;0.007740;0.600000
0.013000;0.000000;0.000051;0.007800;0.600000
0.013100;0.000000;0.000051;0.007860;0.600000
0.013200;0.000000;0.000052;0.007920;0.600000
0.013300;0.000000;0.000053;0.007980;0.600000
0.013400;0.000000;0.000054;0.008040;0.600000
0.013500;0.000000;0.000055;0.008100;0.600000
0.013600;0.000000;0.000055;0.008160;0.600000
0.013700;0.000000;0.000056;0.008220;0.600000
0.013800;0.000000;0.000057;0.008280;0.600000
0.013900;0.000000;0.000058;0.008340;0.600000
0.014000;0.000000;0.000059;0.008400;0.600000
0.014100;0.000000;0.000060;0.008460;0.600000
0.014200;0.000000;0.000060;0.008520;0.600000
0.014300;0.000000;0.000061;0.008580;0.600000
0.014400;0.000000;0.000062;0.008640;0.600000
0.014500;0.000000;0.000063;0.008700;0.600000
0.014600;0.000000;0.000064;0.008760;0.600000
0.014700;0.000000;0.000065;0.008820;0.600000
0.014800;0.000000;0.000066;0.008880;0.600000
0.014900;0.000000;0.000067;0.008940;0.600000
0.015000;0.000000;0.000068;0.009000;0.600000
0.015100;0.000000;0.000068;0.009060;0.600000
0.015200;0.000000;0.000069;0.009120;0.600000
0.015300;0.000000;0.000070;0.009180;0.600000
0.015400;0.000000;0.000071;0.009240;0.600000
0.015500;0.000000;0.000072;0.009300;0.600000
0.015600;0.000000;0.000073;0.009360;0.600000
0.015700;0.000000;0.000074;0.009420;0.600000
0.015800;0.000000;0.000075;0.009480;0.600000
0.015900;0.000000;0.000076;0.009540;0.600000
0.016000;0.000000;0.000077;0.009600;0.600000
0.016100;0.000000;0.000078;0.009660;0.600000
0.016200;0.000000;0.000079;0.009720;0.600000
0.016300;0.000000;0.000080;0.009780;0.600000
0.016400;0.000000;0.000081;0.009840;0.600000
0.016500;0.000000;0.000082;0.009900;0.600000
0.016600;0.000000;0.000083;0.009960;0.600000
0.016700;0.000000;0.000084;0.010020;0.600000
0.016800;0.000000;0.000085;0.010080;0.600000
0.016900;0.000000;0.000086;0.010140;0.600000
0.017000;0.000000;0.000087;0.010200;0.600000
0.017100;0.000001;0.000088;0.010260;0.600000
0.017200;0.000001;0.000089;0.010320;0.600000
0.017300;0.000001;0.000090;0.010380;0.600000
0.017400;0.000001;0.000091;0.010440;0.600000
0.017500;0.000001;0.000092;0.010500;0.600000
0.017600;0.000001;0.000093;0.010560;0.600000
0.017700;0.000001;0.000094;0.010620;0.600000
0.017800;0.000001;0.000095;0.010680;0.600000
0.017900;0.000001;0.000096;0.010740;0.600000
0.018000;0.000001;0.000097;0.010800;0.600000
0.018100;0.000001;0.000098;0.010860;0.600000
0.018200;0.000001;0.000099;0.010920;0.600000
0.018300;0.000001;0.000100;0.010980;0.600000
0.018400;0.000001;0.000102;0.011040;0.600000
0.018500;0.000001;0.000103;0.011100;0.600000
0.018600;0.000001;0.000104;0.011160;0.600000
0.018700;0.000001;0.000105;0.011220;0.600000
0.018800;0.000001;0.000106;0.011280;0.600000
0.018900;0.000001;0.000107;0.011340;0.600000
0.019000;0.000001;0.000108;0.011400;0.600000
0.019100;0.000001;0.000109;0.011460;0.600000
0.019200;0.000001;0.000111;0.011520;0.600000
0.019300;0.000001;0.000112;0.011580;0.600000
0.019400;0.000001;0.000113;0.011640;0.600000
0.019500;0.000001;0.000114;0.011700;0.600000
0.019600;0.000001;0.000115;0.011760;0.600000
0.019700;0.000001;0.000116;0.011820;0.600000
0.019800;0.000001;0.000118;0.011880;0.600000
0.019900;0.000001;0.000119;0.011940;0.600000
0.020000;0.000001;0.000120;0.012000;0.600000
0.020100;0.000001;0.000121;0.012060;0.600000
0.020200;0.000001;0.000122;0.012120;0.600000
0.020300;0.000001;0.000124;0.012180;0.600000
0.020400;0.000001;0.000125;0.012240;0.600000
0.020500;0.000001;0.000126;0.012300;0.600000
0.020600;0.000001;0.000127;0.012360;0.600000
0.020700;0.000001;0.000129;0.012420;0.600000
0.020800;0.000001;0.000130;0.012480;0.600000
0.020900;0.000001;0.000131;0.012540;0.600000
0.021000;0.000001;0.000132;0.012600;0.600000
0.021100;0.000001;0.000134;0.012660;0.600000
0.021200;0.000001;0.000135;0.012720;0.600000
0.021300;0.000001;0.000136;0.012780;0.600000
0.021400;0.000001;0.000137;0.012840;0.600000
0.021500;0.000001;0.000139;0.012900;0.600000
0.021600;0.000001;0.000140;0.012960;0.600000
0.021700;0.000001;0.000141;0.013020;0.600000
0.021800;0.000001;0.000143;0.013080;0.600000
0.021900;0.000001;0.000144;0.013140;0.600000
0.022000;0.000001;0.000145;0.013200;0.600000
0.022100;0.000001;0.000147;0.013260;0.600000
0.022200;0.000001;0.000148;0.013320;0.600000
0.022300;0.000001;0.000149;0.013380;0.600000
0.022400;0.000001;0.000151;0.013440;0.600000
0.022500;0.000001;0.000152;0.013500;0.600000
0.022600;0.000001;0.000153;0.013560;0.600000
0.022700;0.000001;0.000155;0.013620;0.600000
0.022800;0.000001;0.000156;0.013680;0.600000
0.022900;0.000001;0.000157;0.013740;0.600000
0.023000;0.000001;0.000159;0.013800;0.600000
0.023100;0.000001;0.000160;0.013860;0.600000
0.023200;0.000001;0.000161;0.013920;0.600000
0.023300;0.000001;0.000163;0.013980;0.600000
0.023400;0.000001;0.000164;0.014040;0.600000
0.023500;0.000001;0.000166;0.014100;0.600000
0.023600;0.000001;0.000167;0.014160;0.600000
0.023700;0.000001;0.000169;0.014220;0.600000
0.023800;0.000001;0.000170;0.014280;0.600000
0.023900;0.000001;0.000171;0.014340;0.600000
0.024000;0.000001;0.000173;0.014400;0.600000
0.024100;0.000001;0.000174;0.014460;0.600000
0.024200;0.000001;0.000176;0.014520;0.600000
0.024300;0.000001;0.000177;0.014580;0.600000
0.024400;0.000001;0.000179;0.014640;0.600000
0.024500;0.000001;0.000180;0.014700;0.600000
0.024600;0.000001;0.000182;0.014760;0.600000
0.024700;0.000002;0.000183;0.014820;0.600000
0.024800;0.000002;0.000185;0.014880;0.600000
0.024900;0.000002;0.000186;0.014940;0.600000
0.025000;0.000002;0.000187;0.015000;0.600000
0.025100;0.000002;0.000189;0.015060;0.600000
0.025200;0.000002;0.000191;0.015120;0.600000
0.025300;0.000002;0.000192;0.015180;0.600000
0.025400;0.000002;0.000194;0.015240;0.600000
0.025500;0.000002;0.000195;0.015300;0.600000
0.025600;0.000002;0.000197;0.015360;0.600000
0.025700;0.000002;0.000198;0.015420;0.600000
0.025800;0.000002;0.000200;0.015480;0.600000
0.025900;0.000002;0.000201;0.015540;0.600000
0.026000;0.000002;0.000203;0.015600;0.600000
0.026100;0.000002;0.000204;0.015660;0.600000
0.026200;0.000002;0.000206;0.015720;0.600000
0.026300;0.000002;0.000208;0.015780;0.600000
0.026400;0.000002;0.000209;0.015840;0.600000
0.026500;0.000002;0.000211;0.015900;0.600000
0.026600;0.000002;0.000212;0.015960;0.600000
0.026700;0.000002;0.000214;0.016020;0.600000
0.026800;0.000002;0.000215;0.016080;0.600000
0.026900;0.000002;0.000217;0.016140;0.600000
0.027000;0.000002;0.000219;0.016200;0.600000
0.027100;0.000002;0.000220;0.016260;0.600000
0.027200;0.000002;0.000222;0.016320;0.600000
0.027300;0.000002;0.000224;0.016380;0.600000
0.027400;0.000002;0.000225;0.016440;0.600000
0.027500;0.000002;0.000227;0.016500;0.600000
0.027600;0.000002;0.000229;0.016560;0.600000
0.027700;0.000002;0.000230;0.016620;0.600000
0.027800;0.000002;0.000232;0.016680;0.600000
0.027900;0.000002;0.000234;0.016740;0.600000
0.028000;0.000002;0.000235;0.016800;0.600000
0.028100;0.000002;0.000237;0.016860;0.600000
0.028200;0.000002;0.000239;0.016920;0.600000
0.028300;0.000002;0.000240;0.016980;0.600000
0.028400;0.000002;0.000242;0.017040;0.600000
0.028500;0.000002;0.000244;0.017100;0.600000
0.028600;0.000002;0.000245;0.017160;0.600000
0.028700;0.000002;0.000247;0.017220;0.600000
0.028800;0.000002;0.000249;0.017280;0.600000
0.028900;0.000002;0.000251;0.017340;0.600000
0.029000;0.000002;0.000252;0.017400;0.600000
0.029100;0.000002;0.000254;0.017460;0.600000
0.029200;0.000002;0.000256;0.017520;0.600000
0.029300;0.000003;0.000258;0.017580;0.600000
0.029400;0.000003;0.000259;0.017640;0.600000
0.029500;0.000003;0.000261;0.017700;0.600000
0.029600;0.000003;0.000263;0.017760;0.600000
0.029700;0.000003;0.000265;0.017820;0.600000
0.029800;0.000003;0.000266;0.017880;0.600000
0.029900;0.000003;0.000268;0.017940;0.600000
0.030000;0.000003;0.000270;0.018000;0.600000
0.030100;0.000003;0.000272;0.018060;0.600000
0.030200;0.000003;0.000274;0.018120;0.600000
0.030300;0.000003;0.000275;0.018180;0.600000
0.030400;0.000003;0.000277;0.018240;0.600000
0.030500;0.000003;0.000279;0.018300;0.600000
0.030600;0.000003;0.000281;0.018360;0.600000
0.030700;0.000003;0.000283;0.018420;0.600000
0.030800;0.000003;0.000285;0.018480;0.600000
0.030900;0.000003;0.000286;0.018540;0.600000
0.031000;0.000003;0.000288;0.018600;0.600000
0.031100;0.000003;0.000290;0.018660;0.600000
0.031200;0.000003;0.000292;0.018720;0.600000
0.031300;0.000003;0.000294;0.018780;0.600000
0.031400;0.000003;0.000296;0.018840;0.600000
0.031500;0.000003;0.000298;0.018900;0.600000
0.031600;0.000003;0.000300;0.018960;0.600000
0.031700;0.000003;0.000301;0.019020;0.600000
0.031800;0.000003;0.000303;0.019080;0.600000
0.031900;0.000003;0.000305;0.019140;0.600000
0.032000;0.000003;0.000307;0.019200;0.600000
0.032100;0.000003;0.000309;0.019260;0.600000
0.032200;0.000003;0.000311;0.019320;0.600000
0.032300;0.000003;0.000313;0.019380;0.600000
0.032400;0.000003;0.000315;0.019440;0.600000
0.032500;0.000003;0.000317;0.019500;0.600000
0.032600;0.000003;0.000319;0.019560;0.600000
0.032700;0.000003;0.000321;0.019620;0.600000
0.032800;0.000004;0.000323;0.019680;0.600000
0.032900;0.000004;0.000325;0.019740;0.600000
0.033000;0.000004;0.000327;0.019800;0.600000
0.033100;0.000004;0.000329;0.019860;0.600000
0.033200;0.000004;0.000331;0.019920;0.600000
0.033300;0.000004;0.000333;0.019980;0.600000
0.033400;0.000004;0.000335;0.020040;0.600000
0.033500;0.000004;0.000337;0.020100;0.600000
0.033600;0.000004;0.000339;0.020160;0.600000
0.033700;0.000004;0.000341;0.020220;0.600000
0.033800;0.000004;0.000343;0.020280;0.600000
0.033900;0.000004;0.000345;0.020340;0.600000
0.034000;0.000004;0.000347;0.020400;0.600000
0.034100;0.000004;0.000349;0.020460;0.600000
0.034200;0.000004;0.000351;0.020520;0.600000
0.034300;0.000004;0.000353;0.020580;0.600000
0.034400;0.000004;0.000355;0.020640;0.600000
0.034500;0.000004;0.000357;0.020700;0.600000
0.034600;0.000004;0.000359;0.020760;0.600000
0.034700;0.000004;0.000361;0.020820;0.600000
0.034800;0.000004;0.000363;0.020880;0.600000
0.034900;0.000004;0.000365;0.020940;0.600000
0.035000;0.000004;0.000368;0.021000;0.600000
0.035100;0.000004;0.000370;0.021060;0.600000
0.035200;0.000004;0.000372;0.021120;0.600000
0.035300;0.000004;0.000374;0.021180;0.600000
0.035400;0.000004;0.000376;0.021240;0.600000
0.035500;0.000004;0.000378;0.021300;0.600000
0.035600;0.000005;0.000380;0.021360;0.600000
0.035700;0.000005;0.000382;0.021420;0.600000
0.035800;0.000005;0.000384;0.021480;0.600000
0.035900;0.000005;0.000387;0.021540;0.600000
0.036000;0.000005;0.000389;0.021600;0.600000
0.036100;0.000005;0.000391;0.021660;0.600000
0.036200;0.000005;0.000393;0.021720;0.600000
0.036300;0.000005;0.000395;0.021780;0.600000
0.036400;0.000005;0.000397;0.021840;0.600000
0.036500;0.000005;0.000400;0.021900;0.600000
0.036600;0.000005;0.000402;0.021960;0.600000
0.036700;0.000005;0.000404;0.022020;0.600000
0.036800;0.000005;0.000406;0.022080;0.600000
0.036900;0.000005;0.000408;0.022140;0.600000
0.037000;0.000005;0.000411;0.022200;0.600000
0.037100;0.000005;0.000413;0.022260;0.600000
0.037200;0.000005;0.000415;0.022320;0.600000
0.037300;0.000005;0.000417;0.022380;0.600000
0.037400;0.000005;0.000420;0.022440;0.600000
0.037500;0.000005;0.000422;0.022500;0.600000
0.037600;0.000005;0.000424;0.022560;0.600000
0.037700;0.000005;0.000426;0.022620;0.600000
0.037800;0.000005;0.000429;0.022680;0.600000
0.037900;0.000005;0.000431;0.022740;0.600000
0.038000;0.000005;0.000433;0.022800;0.600000
0.038100;0.000006;0.000435;0.022860;0.600000
0.038200;0.000006;0.000438;0.022920;0.600000
0.038300;0.000006;0.000440;0.022980;0.600000
0.038400;0.000006;0.000442;0.023040;0.600000
0.038500;0.000006;0.000445;0.023100;0.600000
0.038600;0.000006;0.000447;0.023160;0.600000
0.038700;0.000006;0.000449;0.023220;0.600000
0.038800;0.000006;0.000452;0.023280;0.600000
0.038900;0.000006;0.000454;0.023340;0.600000
0.039000;0.000006;0.000456;0.023400;0.600000
0.039100;0.000006;0.000459;0.023460;0.600000
0.039200;0.000006;0.000461;0.023520;0.600000
0.039300;0.000006;0.000463;0.023580;0.600000
0.039400;0.000006;0.000466;0.023640;0.600000
0.039500;0.000006;0.000468;0.023700;0.600000
0.039600;0.000006;0.000470;0.023760;0.600000
0.039700;0.000006;0.000473;0.023820;0.600000
0.039800;0.000006;0.000475;0.023880;0.600000
0.039900;0.000006;0.000478;0.023940;0.600000
0.040000;0.000006;0.000480;0.024000;0.600000
0.040100;0.000006;0.000482;0.024060;0.600000
0.040200;0.000006;0.000485;0.024120;0.600000
0.040300;0.000007;0.000487;0.024180;0.600000
0.040400;0.000007;0.000490;0.024240;0.600000
0.040500;0.000007;0.000492;0.024300;0.600000
0.040600;0.000007;0.000495;0.024360;0.600000
0.040700;0.000007;0.000497;0.024420;0.600000
0.040800;0.000007;0.000499;0.024480;0.600000
0.040900;0.000007;0.000502;0.024540;0.600000
0.041000;0.000007;0.000504;0.024600;0.600000
0.041100;0.000007;0.000507;0.024660;0.600000
0.041200;0.000007;0.000509;0.024720;0.600000
0.041300;0.000007;0.000512;0.024780;0.600000
0.041400;0.000007;0.000514;0.024840;0.600000
0.041500;0.000007;0.000517;0.024900;0.600000
0.041600;0.000007;0.000519;0.024960;0.600000
0.041700;0.000007;0.000522;0.025020;0.600000
0.041800;0.000007;0.000524;0.025080;0.600000
0.041900;0.000007;0.000527;0.025140;0.600000
0.042000;0.000007;0.000529;0.025200;0.600000
0.042100;0.000007;0.000532;0.025260;0.600000
0.042200;0.000008;0.000534;0.025320;0.600000
0.042300;0.000008;0.000537;0.025380;0.600000
0.042400;0.000008;0.000539;0.025440;0.600000
0.042500;0.000008;0.000542;0.025500;0.600000
0.042600;0.000008;0.000544;0.025560;0.600000
0.042700;0.000008;0.000547;0.025620;0.600000
0.042800;0.000008;0.000550;0.025680;0.600000
0.042900;0.000008;0.000552;0.025740;0.600000
0.043000;0.000008;0.000555;0.025800;0.600000
0.043100;0.000008;0.000557;0.025860;0.600000
0.043200;0.000008;0.000560;0.025920;0.600000
0.043300;0.000008;0.000562;0.025980;0.600000
0.043400;0.000008;0.000565;0.026040;0.600000
0.043500;0.000008;0.000568;0.026100;0.600000
0.043600;0.000008;0.000570;0.026160;0.600000
0.043700;0.000008;0.000573;0.026220;0.600000
0.043800;0.000008;0.000576;0.026280;0.600000
0.043900;0.000008;0.000578;0.026340;0.600000
0.044000;0.000009;0.000581;0.026400;0.600000
0.044100;0.000009;0.000583;0.026460;0.600000
0.044200;0.000009;0.000586;0.026520;0.600000
0.044300;0.000009;0.000589;0.026580;0.600000
0.044400;0.000009;0.000591;0.026640;0.600000
0.044500;0.000009;0.000594;0.026700;0.600000
0.044600;0.000009;0.000597;0.026760;0.600000
0.044700;0.000009;0.000599;0.026820;0.600000
0.044800;0.000009;0.000602;0.026880;0.600000
0.044900;0.000009;0.000605;0.026940;0.600000
0.045000;0.000009;0.000607;0.027000;0.600000
0.045100;0.000009;0.000610;0.027060;0.600000
0.045200;0.000009;0.000613;0.027120;0.600000
0.045300;0.000009;0.000616;0.027180;0.600000
0.045400;0.000009;0.000618;0.027240;0.600000
0.045500;0.000009;0.000621;0.027300;0.600000
0.045600;0.000009;0.000624;0.027360;0.600000
0.045700;0.000010;0.000627;0.027420;0.600000
0.045800;0.000010;0.000629;0.027480;0.600000
0.045900;0.000010;0.000632;0.027540;0.600000
0.046000;0.000010;0.000635;0.027600;0.600000
0.046100;0.000010;0.000638;0.027660;0.600000
0.046200;0.000010;0.000640;0.027720;0.600000
0.046300;0.000010;0.000643;0.027780;0.600000
0.046400;0.000010;0.000646;0.027840;0.600000
0.046500;0.000010;0.000649;0.027900;0.600000
0.046600;0.000010;0.000651;0.027960;0.600000
0.046700;0.000010;0.000654;0.028020;0.600000
0.046800;0.000010;0.000657;0.028080;0.600000
0.046900;0.000010;0.000660;0.028140;0.600000
0.047000;0.000010;0.000663;0.028200;0.600000
0.047100;0.000010;0.000666;0.028260;0.600000
0.047200;0.000011;0.000668;0.028320;0.600000
0.047300;0.000011;0.000671;0.028380;0.600000
0.047400;0.000011;0.000674;0.028440;0.600000
0.047500;0.000011;0.000677;0.028500;0.600000
0.047600;0.000011;0.000680;0.028560;0.600000
0.047700;0.000011;0.000683;0.028620;0.600000
0.047800;0.000011;0.000685;0.028680;0.600000
0.047900;0.000011;0.000688;0.028740;0.600000
0.048000;0.000011;0.000691;0.028800;0.600000
0.048100;0.000011;0.000694;0.028860;0.600000
0.048200;0.000011;0.000697;0.028920;0.600000
0.048300;0.000011;0.000700;0.028980;0.600000
0.048400;0.000011;0.000703;0.029040;0.600000
0.048500;0.000011;0.000706;0.029100;0.600000
0.048600;0.000011;0.000709;0.029160;0.600000
0.048700;0.000012;0.000712;0.029220;0.600000
0.048800;0.000012;0.000714;0.029280;0.600000
0.048900;0.000012;0.000717;0.029340;0.600000
0.049000;0.000012;0.000720;0.029400;0.600000
0.049100;0.000012;0.000723;0.029460;0.600000
0.049200;0.000012;0.000726;0.029520;0.600000
0.049300;0.000012;0.000729;0.029580;0.600000
0.049400;0.000012;0.000732;0.029640;0.600000
0.049500;0.000012;0.000735;0.029700;0.600000
0.049600;0.000012;0.000738;0.029760;0.600000
0.049700;0.000012;0.000741;0.029820;0.600000
0.049800;0.000012;0.000744;0.029880;0.600000
0.049900;0.000012;0.000747;0.029940;0.600000
0.050000;0.000012;0.000750;0.030000;0.600000
0.050100;0.000013;0.000753;0.030060;0.600000
0.050200;0.000013;0.000756;0.030120;0.600000
0.050300;0.000013;0.000759;0.030180;0.600000
0.050400;0.000013;0.000762;0.030240;0.600000
0.050500;0.000013;0.000765;0.030300;0.600000
0.050600;0.000013;0.000768;0.030360;0.600000
0.050700;0.000013;0.000771;0.030420;0.600000
0.050800;0.000013;0.000774;0.030480;0.600000
0.050900;0.000013;0.000777;0.030540;0.600000
0.051000;0.000013;0.000780;0.030600;0.600000
0.051100;0.000013;0.000783;0.030660;0.600000
0.051200;0.000013;0.000786;0.030720;0.600000
0.051300;0.000014;0.000790;0.030780;0.600000
0.051400;0.000014;0.000793;0.030840;0.600000
0.051500;0.000014;0.000796;0.030900;0.600000
0.051600;0.000014;0.000799;0.030960;0.600000
0.051700;0.000014;0.000802;0.031020;0.600000
0.051800;0.000014;0.000805;0.031080;0.600000
0.051900;0.000014;0.000808;0.031140;0.600000
0.052000;0.000014;0.000811;0.031200;0.600000
0.052100;0.000014;0.000814;0.031260;0.600000
0.052200;0.000014;0.000817;0.031320;0.600000
0.052300;0.000014;0.000821;0.031380;0.600000
0.052400;0.000014;0.000824;0.031440;0.600000
0.052500;0.000014;0.000827;0.031500;0.600000
0.052600;0.000015;0.000830;0.031560;0.600000
0.052700;0.000015;0.000833;0.031620;0.600000
0.052800;0.000015;0.000836;0.031680;0.600000
0.052900;0.000015;0.000840;0.031740;0.600000
0.053000;0.000015;0.000843;0.031800;0.600000
0.053100;0.000015;0.000846;0.031860;0.600000
0.053200;0.000015;0.000849;0.031920;0.600000
0.053300;0.000015;0.000852;0.031980;0.600000
0.053400;0.000015;0.000855;0.032040;0.600000
0.053500;0.000015;0.000859;0.032100;0.600000
0.053600;0.000015;0.000862;0.032160;0.600000
0.053700;0.000015;0.000865;0.032220;0.600000
0.053800;0.000016;0.000868;0.032280;0.600000
0.053900;0.000016;0.000872;0.032340;0.600000
0.054000;0.000016;0.000875;0.032400;0.600000
0.054100;0.000016;0.000878;0.032460;0.600000
0.054200;0.000016;0.000881;0.032520;0.600000
0.054300;0.000016;0.000885;0.032580;0.600000
0.054400;0.000016;0.000888;0.032640;0.600000
0.054500;0.000016;0.000891;0.032700;0.600000
0.054600;0.000016;0.000894;0.032760;0.600000
0.054700;0.000016;0.000898;0.032820;0.600000
0.054800;0.000016;0.000901;0.032880;0.600000
0.054900;0.000017;0.000904;0.032940;0.600000
0.055000;0.000017;0.000908;0.033000;0.600000
0.055100;0.000017;0.000911;0.033060;0.600000
0.055200;0.000017;0.000914;0.033120;0.600000
0.055300;0.000017;0.000917;0.033180;0.600000
0.055400;0.000017;0.000921;0.033240;0.600000
0.055500;0.000017;0.000924;0.033300;0.600000
