time(s);position(m);velocity(m/s);acceleration(m*s^-2);jerk(m*s^-3)
0.000000;0.000000;0.000000;0.000000;1.000000
0.001000;0.000000;0.000001;0.000000;1.000000
0.002000;0.000000;0.000002;0.000000;1.000000
0.003000;0.000000;0.000005;0.000000;1.000000
0.004000;0.000000;0.000008;0.000000;1.000000
0.005000;0.000000;0.000013;0.000000;1.000000
0.006000;0.000000;0.000018;0.000000;1.000000
0.007000;0.000000;0.000025;0.000000;1.000000
0.008000;0.000000;0.000032;0.000000;1.000000
0.009000;0.000000;0.000041;0.000000;1.000000
0.010000;0.000000;0.000050;0.000000;1.000000
0.011000;0.000000;0.000061;0.000000;1.000000
0.012000;0.000000;0.000072;0.000000;1.000000
0.013000;0.000000;0.000085;0.000000;1.000000
0.014000;0.000000;0.000098;0.000000;1.000000
0.015000;0.000001;0.000113;0.000000;1.000000
0.016000;0.000001;0.000128;0.000000;1.000000
0.017000;0.000001;0.000145;0.000000;1.000000
0.018000;0.000001;0.000162;0.000000;1.000000
0.019000;0.000001;0.000181;0.000000;1.000000
0.020000;0.000001;0.000200;0.000000;1.000000
0.021000;0.000002;0.000221;0.000000;1.000000
0.022000;0.000002;0.000242;0.000000;1.000000
0.023000;0.000002;0.000265;0.000000;1.000000
0.024000;0.000002;0.000288;0.000000;1.000000
0.025000;0.000003;0.000313;0.000000;1.000000
0.026000;0.000003;0.000338;0.000000;1.000000
0.027000;0.000003;0.000365;0.000000;1.000000
0.028000;0.000004;0.000392;0.000000;1.000000
0.029000;0.000004;0.000421;0.000000;1.000000
0.030000;0.000005;0.000450;0.000000;1.000000
0.031000;0.000005;0.000481;0.000000;1.000000
0.032000;0.000005;0.000512;0.000000;1.000000
0.033000;0.000006;0.000545;0.000000;1.000000
0.034000;0.000007;0.000578;0.000000;1.000000
0.035000;0.000007;0.000613;0.000000;1.000000
0.036000;0.000008;0.000648;0.000000;1.000000
0.037000;0.000008;0.000685;0.000000;1.000000
0.038000;0.000009;0.000722;0.000000;1.000000
0.039000;0.000010;0.000761;0.000000;1.000000
0.040000;0.000011;0.000800;0.000000;1.000000
0.041000;0.000011;0.000841;0.000000;1.000000
0.042000;0.000012;0.000882;0.000000;1.000000
0.043000;0.000013;0.000925;0.000000;1.000000
0.044000;0.000014;0.000968;0.000000;1.000000
0.045000;0.000015;0.001013;0.000000;1.000000
0.046000;0.000016;0.001058;0.000000;1.000000
0.047000;0.000017;0.001105;0.000000;1.000000
0.048000;0.000018;0.001152;0.000000;1.000000
0.049000;0.000020;0.001201;0.000000;1.000000
0.050000;0.000021;0.001250;0.000000;1.000000
0.051000;0.000022;0.001301;0.000000;1.000000
0.052000;0.000023;0.001352;0.000000;1.000000
0.053000;0.000025;0.001405;0.000000;1.000000
0.054000;0.000026;0.001458;0.000000;1.000000
0.055000;0.000028;0.001513;0.000000;1.000000
0.056000;0.000029;0.001568;0.000000;1.000000
0.057000;0.000031;0.001625;0.000000;1.000000
0.058000;0.000033;0.001682;0.000000;1.000000
0.059000;0.000034;0.001741;0.000000;1.000000
0.060000;0.000036;0.001800;0.000000;1.000000
0.061000;0.000038;0.001861;0.000000;1.000000
0.062000;0.000040;0.001922;0.000000;1.000000
0.063000;0.000042;0.001985;0.000000;1.000000
0.064000;0.000044;0.002048;0.000000;1.000000
0.065000;0.000046;0.002113;0.000000;1.000000
0.066000;0.000048;0.002178;0.000000;1.000000
0.067000;0.000050;0.002245;0.000000;1.000000
0.068000;0.000052;0.002312;0.000000;1.000000
0.069000;0.000055;0.002381;0.000000;1.000000
0.070000;0.000057;0.002450;0.000000;1.000000
0.071000;0.000060;0.002521;0.000000;1.000000
0.072000;0.000062;0.002592;0.000000;1.000000
0.073000;0.000065;0.002665;0.000000;1.000000
0.074000;0.000068;0.002738;0.000000;1.000000
0.075000;0.000070;0.002813;0.000000;1.000000
0.076000;0.000073;0.002888;0.000000;1.000000
0.077000;0.000076;0.002965;0.000000;1.000000
0.078000;0.000079;0.003042;0.000000;1.000000
0.079000;0.000082;0.003121;0.000000;1.000000
0.080000;0.000085;0.003200;0.000000;1.000000
0.081000;0.000089;0.003280;0.000000;1.000000
0.082000;0.000092;0.003362;0.000000;1.000000
0.083000;0.000095;0.003445;0.000000;1.000000
0.084000;0.000099;0.003528;0.000000;1.000000
0.085000;0.000102;0.003613;0.000000;1.000000
0.086000;0.000106;0.003698;0.000000;1.000000
0.087000;0.000110;0.003785;0.000000;1.000000
0.088000;0.000114;0.003872;0.000000;1.000000
0.089000;0.000117;0.003961;0.000000;1.000000
0.090000;0.000122;0.004050;0.000000;1.000000
0.091000;0.000126;0.004141;0.000000;1.000000
0.092000;0.000130;0.004232;0.000000;1.000000
0.093000;0.000134;0.004324;0.000000;1.000000
0.094000;0.000138;0.004418;0.000000;1.000000
0.095000;0.000143;0.004513;0.000000;1.000000
0.096000;0.000147;0.004608;0.000000;1.000000
0.097000;0.000152;0.004705;0.000000;1.000000
0.098000;0.000157;0.004802;0.000000;1.000000
0.099000;0.000162;0.004901;0.000000;1.000000
0.100000;0.000167;0.005000;0.000000;1.000000
0.101000;0.000172;0.005101;0.000000;1.000000
0.102000;0.000177;0.005202;0.000000;1.000000
0.103000;0.000182;0.005305;0.000000;1.000000
0.104000;0.000187;0.005408;0.000000;1.000000
0.105000;0.000193;0.005513;0.000000;1.000000
0.106000;0.000199;0.005618;0.000000;1.000000
0.107000;0.000204;0.005725;0.000000;1.000000
0.108000;0.000210;0.005832;0.000000;1.000000
0.109000;0.000216;0.005941;0.000000;1.000000
0.110000;0.000222;0.006050;0.000000;1.000000
0.111000;0.000228;0.006161;0.000000;1.000000
0.112000;0.000234;0.006272;0.000000;1.000000
0.113000;0.000240;0.006385;0.000000;1.000000
0.114000;0.000247;0.006498;0.000000;1.000000
0.115000;0.000253;0.006613;0.000000;1.000000
0.116000;0.000260;0.006728;0.000000;1.000000
0.117000;0.000267;0.006845;0.000000;1.000000
0.118000;0.000274;0.006962;0.000000;1.000000
0.119000;0.000281;0.007081;0.000000;1.000000
0.120000;0.000288;0.007200;0.000000;1.000000
0.121000;0.000295;0.007321;0.000000;1.000000
0.122000;0.000303;0.007442;0.000000;1.000000
0.123000;0.000310;0.007565;0.000000;1.000000
0.124000;0.000318;0.007688;0.000000;1.000000
0.125000;0.000326;0.007812;0.000000;1.000000
0.126000;0.000333;0.007938;0.000000;1.000000
0.127000;0.000341;0.008065;0.000000;1.000000
0.128000;0.000350;0.008192;0.000000;1.000000
0.129000;0.000358;0.008321;0.000000;1.000000
0.130000;0.000366;0.008450;0.000000;1.000000
0.131000;0.000375;0.008581;0.000000;1.000000
0.132000;0.000383;0.008712;0.000000;1.000000
0.133000;0.000392;0.008845;0.000000;1.000000
0.134000;0.000401;0.008978;0.000000;1.000000
0.135000;0.000410;0.009113;0.000000;1.000000
0.136000;0.000419;0.009248;0.000000;1.000000
0.137000;0.000429;0.009385;0.000000;1.000000
0.138000;0.000438;0.009522;0.000000;1.000000
0.139000;0.000448;0.009661;0.000000;1.000000
0.140000;0.000457;0.009800;0.000000;1.000000
0.141000;0.000467;0.009941;0.000000;1.000000
0.142000;0.000477;0.010082;0.000000;1.000000
0.143000;0.000487;0.010225;0.000000;1.000000
0.144000;0.000498;0.010368;0.000000;1.000000
0.145000;0.000508;0.010513;0.000000;1.000000
0.146000;0.000519;0.010658;0.000000;1.000000
0.147000;0.000529;0.010805;0.000000;1.000000
0.148000;0.000540;0.010952;0.000000;1.000000
0.149000;0.000551;0.011101;0.000000;1.000000
0.150000;0.000563;0.011250;0.000000;1.000000
0.151000;0.000574;0.011401;0.000000;1.000000
0.152000;0.000585;0.011552;0.000000;1.000000
0.153000;0.000597;0.011705;0.000000;1.000000
0.154000;0.000609;0.011858;0.000000;1.000000
0.155000;0.000621;0.012013;0.000000;1.000000
0.156000;0.000633;0.012168;0.000000;1.000000
0.157000;0.000645;0.012325;0.000000;1.000000
0.158000;0.000657;0.012482;0.000000;1.000000
0.159000;0.000670;0.012641;0.000000;1.000000
0.160000;0.000683;0.012800;0.000000;1.000000
0.161000;0.000696;0.012961;0.000000;1.000000
0.162000;0.000709;0.013122;0.000000;1.000000
0.163000;0.000722;0.013285;0.000000;1.000000
0.164000;0.000735;0.013448;0.000000;1.000000
0.165000;0.000749;0.013613;0.000000;1.000000
0.166000;0.000762;0.013778;0.000000;1.000000
0.167000;0.000776;0.013945;0.000000;1.000000
0.168000;0.000790;0.014112;0.000000;1.000000
0.169000;0.000804;0.014281;0.000000;1.000000
0.170000;0.000819;0.014450;0.000000;1.000000
0.171000;0.000833;0.014621;0.000000;1.000000
0.172000;0.000848;0.014792;0.000000;1.000000
0.173000;0.000863;0.014965;0.000000;1.000000
0.174000;0.000878;0.015138;0.000000;1.000000
